province,commodity,year,min_price,max_price,avg_price,median_price,count
JAMBI,Consumption Sugar,2024,16770.0,18030.0,17395.296296296296,17450.0,270
JAMBI,Curly Red Chili,2022,22980.0,94260.0,42129.15407854985,34850.0,331
JAMBI,Curly Red Chili,2023,17830.0,73300.0,36250.602739726026,34360.0,365
JAMBI,Curly Red Chili,2024,22270.0,80920.0,44744.96296296296,41660.0,270
JAMBI,Garlic,2022,20930.0,28640.0,24374.25981873112,23820.0,331
JAMBI,Garlic,2023,23710.0,38800.0,32135.342465753423,33390.0,365
JAMBI,Garlic,2024,35120.0,40190.0,37424.88888888889,37085.0,270
JAMBI,Medium Rice,2022,9990.0,11040.0,10422.084592145015,10250.0,331
JAMBI,Medium Rice,2023,10550.0,12500.0,11269.09589041096,10820.0,365
JAMBI,Medium Rice,2024,11840.0,13290.0,12805.333333333334,12940.0,270
JAMBI,Premium Rice,2022,11790.0,13300.0,12319.003021148037,12120.0,331
JAMBI,Premium Rice,2023,13000.0,15480.0,13863.287671232876,13320.0,365
JAMBI,Premium Rice,2024,14550.0,15870.0,15000.481481481482,14910.0,270
JAMBI,Pure Beef,2022,124900.0,155720.0,136030.06042296073,138060.0,331
JAMBI,Pure Beef,2023,136350.0,154340.0,137786.13698630137,137120.0,365
JAMBI,Pure Beef,2024,134890.0,153540.0,137649.85185185185,137090.0,270
JAMBI,Red Cayenne Pepper,2022,35710.0,99380.0,53550.09063444109,51000.0,331
JAMBI,Red Cayenne Pepper,2023,31510.0,86980.0,48378.931506849316,42650.0,365
JAMBI,Red Cayenne Pepper,2024,38400.0,81950.0,53651.51851851852,49690.0,270
JAMBI,Shallots,2022,22510.0,48820.0,30219.728096676736,28660.0,331
JAMBI,Shallots,2023,17180.0,32950.0,26125.12328767123,27160.0,365
JAMBI,Shallots,2024,19890.0,46780.0,31193.14814814815,29605.0,270
JAMBI,Simple Packaged Cooking Oil,2022,14960.0,23240.0,17934.803625377644,16920.0,331
JAMBI,Simple Packaged Cooking Oil,2023,15040.0,16340.0,15810.027397260274,15850.0,365
JAMBI,Simple Packaged Cooking Oil,2024,14380.0,16650.0,15808.111111111111,15860.0,270
JAWA BARAT,Broiler Chicken Meat,2022,32440.0,43820.0,35818.09667673716,35480.0,331
JAWA BARAT,Broiler Chicken Meat,2023,32840.0,43240.0,36130.02739726027,35610.0,365
JAWA BARAT,Broiler Chicken Meat,2024,33490.0,44370.0,36778.08118081181,36740.0,271
JAWA BARAT,Bulk Cooking Oil,2022,13530.0,19870.0,15324.75113122172,14250.0,221
JAWA BARAT,Bulk Cooking Oil,2023,14520.0,16050.0,15123.479452054795,15050.0,365
JAWA BARAT,Bulk Cooking Oil,2024,14890.0,16910.0,16097.89667896679,16210.0,271
JAWA BARAT,Bulk Wheat Flour,2022,7960.0,10350.0,9313.262839879155,9480.0,331
JAWA BARAT,Bulk Wheat Flour,2023,10070.0,11040.0,10579.589041095891,10600.0,365
JAWA BARAT,Bulk Wheat Flour,2024,9950.0,10530.0,10190.40590405904,10180.0,271
JAWA BARAT,Chicken Eggs,2022,20430.0,31390.0,26594.712990936558,26910.0,331
JAWA BARAT,Chicken Eggs,2023,25540.0,32070.0,28667.780821917808,28090.0,365
JAWA BARAT,Chicken Eggs,2024,25740.0,32250.0,28271.21771217712,28030.0,271
JAWA BARAT,Consumption Sugar,2022,13110.0,14660.0,14212.779456193353,14250.0,331
JAWA BARAT,Consumption Sugar,2023,14100.0,17100.0,14817.506849315068,14460.0,365
JAWA BARAT,Consumption Sugar,2024,16200.0,18180.0,17486.826568265682,17690.0,271
JAWA BARAT,Curly Red Chili,2022,27760.0,90350.0,46634.32024169184,42840.0,331
JAWA BARAT,Curly Red Chili,2023,30350.0,82990.0,44017.58904109589,40260.0,365
JAWA BARAT,Curly Red Chili,2024,28730.0,80830.0,50006.49446494465,44840.0,271
JAWA BARAT,Garlic,2022,23860.0,31440.0,26636.978851963748,25880.0,331
JAWA BARAT,Garlic,2023,24610.0,38850.0,33772.49315068493,34950.0,365
JAWA BARAT,Garlic,2024,35630.0,42510.0,38976.27306273063,39040.0,271
JAWA BARAT,Medium Rice,2022,9950.0,10690.0,10206.978851963746,10190.0,331
JAWA BARAT,Medium Rice,2023,10660.0,12990.0,11629.452054794521,11180.0,365
JAWA BARAT,Medium Rice,2024,12320.0,15180.0,13239.446494464944,12890.0,271
JAWA BARAT,Premium Rice,2022,11470.0,12110.0,11670.785498489426,11620.0,331
JAWA BARAT,Premium Rice,2023,12060.0,14200.0,13045.09589041096,12630.0,365
JAWA BARAT,Premium Rice,2024,14040.0,16670.0,15097.30627306273,14840.0,271
JAWA BARAT,Pure Beef,2022,122180.0,153180.0,132013.32326283987,133260.0,331
JAWA BARAT,Pure Beef,2023,131730.0,154740.0,134143.20547945207,133580.0,365
JAWA BARAT,Pure Beef,2024,129130.0,153880.0,134179.07749077491,133390.0,271
JAWA BARAT,Red Cayenne Pepper,2022,34520.0,97990.0,53369.63746223565,51400.0,331
JAWA BARAT,Red Cayenne Pepper,2023,32350.0,95860.0,55060.27397260274,45840.0,365
JAWA BARAT,Red Cayenne Pepper,2024,33600.0,81540.0,51359.81549815498,46710.0,271
JAWA BARAT,Shallots,2022,24720.0,65349.99999999999,33161.32930513595,31800.0,331
JAWA BARAT,Shallots,2023,22000.0,41810.0,32490.520547945205,33450.0,365
JAWA BARAT,Shallots,2024,23710.0,57550.0,34029.52029520295,30710.0,271
JAWA BARAT,Simple Packaged Cooking Oil,2022,17300.0,24820.0,19909.939577039277,18810.0,331
JAWA BARAT,Simple Packaged Cooking Oil,2023,16990.0,18470.0,17752.13698630137,17710.0,365
JAWA BARAT,Simple Packaged Cooking Oil,2024,16090.0,17570.0,17234.797047970478,17240.0,271
JAWA TENGAH,Broiler Chicken Meat,2022,31530.0,44700.0,34651.87311178248,34150.0,331
